Greek Word,English Translation,Similar,Example Sentence
της,hers,,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
από,from,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
είναι,is,,"Chapter 5 Η συγκέντρωση του αδιάστατου οξέος σε ένα διάλυμα mol·dm −3 θα είναι μικρότερη από 0,01% των συγκεντρώσεων των προϊόντων της διάστασης."
η,the (feminine),,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
τη,the (or her),,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
τους,their (or them),,Drake 2008 Με την σύσταση του Μεγάλου Κοινοβουλίου έγινε ένας από τους μεγαλύτερους επικριτές της βασιλικής πολιτικής.
το,the (neutral),,"» (1960), «ο Θάνατος του Εμποράκου», «"
ο,the (masculine),,"» (1960), «ο Θάνατος του Εμποράκου», «"
ήταν,it was,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
ως,as,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
